ingredients_list,gpt-3_extracted
"4   cups    unsalted beef stock
1   small    onion, chopped 
1   small    carrot, chopped 
1       bay leaf
1   sprig    thyme
1   teaspoon    whole black peppercorn
1   tablespoon   coarsely crushed black peppercorns
1   tablespoon   coarsely crushed green peppercorn
4 (8 -10   ounce)    New York strip steaks, cut 1 inch thick, trimmed of excess fat  (8-10 oz. each)
1   tablespoon    vegetable oil
4   tablespoons    unsalted butter, cut into 4 pieces 
2   tablespoons   very finely minced shallots
4   tablespoons    cognac or 4   tablespoons    brandy
1/2  cup    dry white wine
2   teaspoons   finely chopped parsley","['unsalted beef stock', 'onion', 'carrot', 'bay leaf', 'thyme', 'whole black peppercorn', 'coarsely crushed black peppercorns', 'coarsely crushed green peppercorn', 'New York strip steaks', 'vegetable oil', 'unsalted butter', 'shallots', 'cognac', 'brandy', 'dry white wine', 'parsley']"
"
0.5 (8   ounce) package   button mushrooms
0.5 (6   ounce) package  presliced portabella mushrooms
1   teaspoon    olive oil
1   teaspoon    butter
2   tablespoons   finely chopped shallots
2       garlic cloves, chopped 
1/8  teaspoon    salt
14       wonton wrappers
1   teaspoon    cornstarch

1/2  cup    1% low-fat milk
1   tablespoon    all-purpose flour
2   tablespoons   grated fresh parmesan cheese
1   tablespoon   chopped fresh chives
1/8  teaspoon    salt
1   dash    fresh ground black pepper","['button mushrooms', 'presliced portabella mushrooms', 'olive oil', 'butter', 'shallots', 'garlic cloves', 'salt', 'wonton wrappers', 'cornstarch', '1% low-fat milk', 'all-purpose flour', 'grated fresh parmesan cheese', 'chopped fresh chives', 'fresh ground black pepper']"
"2 -3      individual sponge shortcake cups
1   scoop    ice cream (any flavor)
  hot fudge, warmed 
  whipped cream
 sliced strawberry","['individual sponge shortcake cups', 'ice cream', 'hot fudge', 'whipped cream', 'sliced strawberry']"
"  vegetable oil, plus 
2   tablespoons    vegetable oil
3   ears    corn on the cob
1       red bell pepper, split and seeded 
1   lb    chicken breast tenders
1   teaspoon    poultry seasoning, 1/3 palm full 
1   teaspoon    cumin, 1/3 palm full 
  salt and pepper
1   medium    zucchini, small dice 
1   medium    yellow onion, chopped 
3       garlic cloves, chopped 
1 -2       chipotle chile in adobo, chopped  (medium to hot heat level)
1 (28   ounce) can   stewed tomatoes
1 (8   ounce) can   tomato sauce
3   cups    chicken stock
4   cups    blue corn tortilla chips, broken up into large pieces 
1   cup   shredded cheddar cheese or 1   cup    monterey jack pepper cheese
1/2  cup    sour cream

1/4     raw red onion, chopped 
2 -3   tablespoons   chopped cilantro or 2 -3   tablespoons    fresh parsley leaves
1      ripe avocado, diced and dressed with 
1/2      lemon, juice of","['vegetable oil', 'corn on the cob', 'red bell pepper', 'chicken breast tenders', 'poultry seasoning', 'cumin', 'salt and pepper', 'zucchini', 'yellow onion', 'garlic cloves', 'chipotle chile in adobo', 'stewed tomatoes', 'tomato sauce', 'chicken stock', 'blue corn tortilla chips', 'shredded cheddar cheese', 'monterey jack pepper cheese', 'sour cream', 'raw red onion', 'chopped cilantro', 'fresh parsley leaves', 'ripe avocado', 'lemon']"
"1   tablespoon    butter
2       shallots, peeled, finely chopped 
6   ounces   raw prawns, peeled 
1       garlic clove, peeled 
350   g    gruyere or 350   g    swiss cheese, grated 
2   teaspoons    cornflour
150   ml    apple cider or 150   ml    light beer
3   drops    hot pepper sauce
  fresh parsley (to garnish)
  French bread or   pretzel, to dip ","['butter', 'shallots', 'raw prawns', 'garlic clove', 'gruyere', 'swiss cheese', 'cornflour', 'apple cider', 'light beer', 'hot pepper sauce', 'fresh parsley', 'French bread', 'pretzel']"
"7   cups    water
1   cup    low sodium chicken broth
2   large   unpeeled semi-ripe plantains, ends trimmed, each cut cross-wise into thirds  (yellow with black)
1/2  tablespoon    unsalted butter
1   tablespoon    extra virgin olive oil
1/2  large    leek, finely chopped  (white and pale green parts only)
4   teaspoons    fresh thyme, minced 
2   teaspoons    fresh Italian parsley, minced 
1/4  cup    sour cream
1   tablespoon    ground cumin
1   tablespoon   chopped pecans
1   tablespoon    butter","['water', 'low sodium chicken broth', 'unpeeled semi-ripe plantains', 'unsalted butter', 'extra virgin olive oil', 'leek', 'fresh thyme', 'fresh Italian parsley', 'sour cream', 'ground cumin', 'chopped pecans', 'butter']"
"20 -25      mildly ripe firm pickling cucumbers
1/4  cup    kosher salt
1   head    garlic, peeled and broken up into cloves 
1   tablespoon    coriander seed
1   tablespoon    black peppercorns
1   bunch    fresh dill
1/2  lb    ice
3       grape leaves
16   cups    water","['mildly ripe firm pickling cucumbers', 'kosher salt', 'garlic', 'coriander seed', 'black peppercorns', 'fresh dill', 'ice', 'grape leaves', 'water']"
"1   cup    elbow macaroni, uncooked 
1/2  lb    ground beef
1/4  cup    onion, chopped 
1 (19   ounce) can  gebhard's chili without beans
1   cup    cottage cheese
1/2  cup    corn chips, coarsely crushed 
1/2  teaspoon    salt
1/2  teaspoon    chili powder
1   cup    buttered bread crumb","['elbow macaroni', 'ground beef', 'onion', ""gebhard's chili without beans"", 'cottage cheese', 'corn chips', 'salt', 'chili powder', 'buttered bread crumb']"
"1       onion, chopped 
1       green pepper, chopped 
2       carrots, slice into disks 
1       celery rib, sliced 
1   cup    frozen corn
1 (14 1/2  ounce) can   black beans, drained and rinsed 
1 (14 1/2  ounce) can   pink beans, drained and rinsed 
0.5 (20   ounce) can   crushed pineapple in juice
1/2  cup    French lentils or 1/2  cup    lentils
1 (28   ounce) can   diced tomatoes with juice
1 (10 1/2  ounce) can   tomato soup
1 1/2  cups    water
2   tablespoons    chili powder
1/2  teaspoon    garlic powder
1/2  teaspoon    cumin
1/4  teaspoon    cayenne pepper
3   dashes    liquid smoke","['onion', 'green pepper', 'carrots', 'celery rib', 'frozen corn', 'black beans', 'pink beans', 'crushed pineapple in juice', 'French lentils', 'lentils', 'diced tomatoes with juice', 'tomato soup', 'water', 'chili powder', 'garlic powder', 'cumin', 'cayenne pepper', 'liquid smoke']"
"4   tablespoons    coriander
2   tablespoons    ginger
2   tablespoons    cardamom
1 1/2  tablespoons    cumin
1 1/2  teaspoons    cinnamon
1   tablespoon    turmeric
1   tablespoon    black pepper
1 1/2  teaspoons    mace
1 1/2  teaspoons    cayenne pepper
3/4  teaspoon    clove","['coriander', 'ginger', 'cardamom', 'cumin', 'cinnamon', 'turmeric', 'black pepper', 'mace', 'cayenne pepper', 'clove']"
"1 1/2  cups    bittersweet chocolate chips
1 1/2  cups    sugar
1/4  cup    flour
1/2  teaspoon    kosher salt
6       eggs
1   cup   organic whole milk plain lifeway kefir
1 1/2  tablespoons    vanilla
1 (9   inch)    pie crusts or 6 (4   inch)    tart shells","['bittersweet chocolate chips', 'sugar', 'flour', 'kosher salt', 'eggs', 'organic whole milk plain lifeway kefir', 'vanilla', 'pie crusts', 'tart shells']"
"16   ounces   sliced fresh mushrooms (white, baby Portobello or a combination of the two)
1   tablespoon    margarine (I use Smart Balance )
1   tablespoon    olive oil
1       eggs or 3   tablespoons   flax seed meal mixed with 1 t. water
1/2  teaspoon    garlic salt (use garlic powder if watching your salt intake)
1/2  teaspoon    italian seasoning
1   tablespoon    parsley flakes
15   ounces    ricotta cheese (if using low-fat, strain in cheesecloth lined colander)
2   cups   shredded part-skim mozzarella cheese, divided as instructed below 
1/2  cup   shredded and divided Italian cheese blend, Romano Parmesan & Asiago should be included in the blend 
2 1/2-3 1/2  cups    pasta sauce, depending on how much extra sauce you want to serve with the lasagna, and for possible bread stick d ","['sliced fresh mushrooms', 'margarine', 'olive oil', 'eggs', 'flax seed meal', 'garlic salt', 'garlic powder', 'italian seasoning', 'parsley flakes', 'ricotta cheese', 'part-skim mozzarella cheese', 'Italian cheese blend', 'Romano Parmesan', 'Asiago', 'pasta sauce']"
"3   cups    heavy cream
1   piece    vanilla bean, pierced 
1/4  cup    sugar
3       eggs
3       egg yolks
1/2  cup    dark brown sugar
  fresh raspberry

1       vanilla bean
4 1/2  ounces    baking chocolate
4 1/2  ounces    pralines
1   cup    pecans, finely chopped  or 1   cup    brazil nut
3   ounces    coffee beans, finely ground  (Espresso, French Roast, etc.)
2       bananas
1   tablespoon    butter
2   tablespoons    brandy
2   teaspoons    brown sugar","['heavy cream', 'vanilla bean', 'sugar', 'eggs', 'egg yolks', 'dark brown sugar', 'fresh raspberry', 'baking chocolate', 'pralines', 'pecans', 'brazil nut', 'coffee beans', 'bananas', 'butter', 'brandy', 'brown sugar']"
"2       racks of lamb (frenched & fatty skin removed if desired)
1 -2   tablespoon    oil
2   tablespoons   minced garlic (a sweeter flavour is obtained by using roasted bulbs of garlic mashed)
 freshly ground mix of coloured peppercorn (pink, green & black)
  salt","['racks of lamb', 'oil', 'minced garlic', 'freshly ground mix of coloured peppercorn', 'salt']"
"2   cups   sifted self rising flour
1/4  cup    butter
1   tablespoon    superfine sugar
1/3  cup    chocolate chips
2/3  cup    milk","['sifted self rising flour', 'butter', 'superfine sugar', 'chocolate chips', 'milk']"
"1 (9   inch)    frozen pie crusts, thawed 
1   lb    Italian sausage, sliced or crumbled 
1   small    onion, sliced 
4   ounces    mushrooms, sliced 
1   cup    mozzarella cheese, shredded 
1/4  cup    parmesan cheese, shredded 
1 (15   ounce) can   pizza sauce
1/2  teaspoon    italian seasoning
2   teaspoons    parmesan cheese, grated ","['frozen pie crusts', 'Italian sausage', 'onion', 'mushrooms', 'mozzarella cheese', 'parmesan cheese', 'pizza sauce', 'italian seasoning', 'parmesan cheese']"
"
3   cups    ground almonds
1   cup    granulated sugar
3       lemons, zest of, finely grated 
3   small   medium eggs

3   tablespoons    cornflour (maize or cornstarch)

2   cups   of light sugar syrup
2 1/2  cups    icing sugar (confectioners sugar)","['ground almonds', 'granulated sugar', 'lemons, zest of, finely grated', 'small medium eggs', 'cornflour (maize or cornstarch)', 'light sugar syrup', 'icing sugar (confectioners sugar)']"
"500   g    large shrimp, peeled and deveined  (i used allready cooked shrimp)
3   tablespoons    soy sauce
1       garlic clove, finely chopped 
2   tablespoons    vegetable oil
1   small    red bell pepper, coarsely chopped  (capsicum)
1   small    onion, coarsely chopped 
16       snow peas, ends trimmed and rinsed  (mangetouts)
2   tablespoons    water
1   pinch    pepper
2 (200   g)   straight to wok rice (unsure about size but i used 2 packets, can just have this on boiled or steamed rice)","['shrimp', 'soy sauce', 'garlic clove', 'vegetable oil', 'red bell pepper', 'onion', 'snow peas', 'water', 'pepper', 'straight to wok rice']"
"1/2  cup   finely chopped bacon
1 1/2  lbs    ground pork
1   large    garlic clove, minced 
2   teaspoons   finely chopped thyme
1   teaspoon    kosher salt
1/2  teaspoon    fresh ground pepper
4   slices    red onions (1/2-inch thick)
  olive oil, for drizzling 
4       hamburger buns or 4       ciabatta rolls
2   tablespoons    unsalted butter, melted 
6   ounces    camembert cheese, cut into eight slices  (1/3-inch-thick)
2   ounces    gorgonzola, cut into four slices  (1/3-inch-thick)
  arugula
4       tomatoes, slices ","['bacon', 'ground pork', 'garlic clove', 'thyme', 'kosher salt', 'fresh ground pepper', 'red onions', 'olive oil', 'hamburger buns', 'ciabatta rolls', 'unsalted butter', 'camembert cheese', 'gorgonzola', 'arugula', 'tomatoes']"
"
1   cup    unsalted butter, softened 
1   cup    sugar
3   cups    all-purpose flour
1/2  teaspoon    baking soda
1/2  teaspoon    salt
2   large    eggs
1/2  cup   very finely chopped walnuts or 1/2  cup    pecans
1   teaspoon    vanilla
5   drops    red food coloring
9   drops    blue food coloring

2   cups    icing sugar
35   drops    red food coloring","['unsalted butter', 'sugar', 'all-purpose flour', 'baking soda', 'salt', 'eggs', 'very finely chopped walnuts', 'pecans', 'vanilla', 'red food coloring', 'blue food coloring', 'icing sugar']"
"3      free range egg yolks
3   ounces    caster sugar
50   g    cream cheese
3   tablespoons    lime curd
150   ml    double cream
150   ml    milk","['free range egg yolks', 'caster sugar', 'cream cheese', 'lime curd', 'double cream', 'milk']"
"1 1/2  cups    dried pinto beans
7   cups    water
1/4  cup    vegetable oil
2       yellow onions, diced 
1   teaspoon    salt
1/2  teaspoon    fresh ground black pepper
4       garlic cloves, minced 
6   cups    vegetable stock or 6   cups    water

3      ripe plum tomatoes, diced  (Roma)
1/2  small    red onion, finely diced  (Spanish)
1/4  cup   coarsely chopped fresh cilantro
1       lime, juice of
  salt & freshly ground black pepper
  crema or   sour cream","['dried pinto beans', 'vegetable oil', 'yellow onions', 'salt', 'fresh ground black pepper', 'garlic cloves', 'vegetable stock', 'water', 'ripe plum tomatoes', 'red onion', 'cilantro', 'lime', 'crema', 'sour cream']"
"2   lbs    shrimp
1   tablespoon    olive oil
1/2  teaspoon    kosher salt
1/2  teaspoon    fresh ground black pepper","['shrimp', 'olive oil', 'kosher salt', 'fresh ground black pepper']"
"1/4  cup    butter
1/4  cup    light brown sugar
1/4  cup    white sugar
1/4  cup    heavy whipping cream
1/8  teaspoon    nutmeg, ground 
12   ounces    brie cheese, wheel 
1/2  cup    pecans, toasted ","['butter', 'light brown sugar', 'white sugar', 'heavy whipping cream', 'nutmeg, ground', 'brie cheese, wheel', 'pecans, toasted']"
"700   g    mascarpone
6      very fresh eggs (essential!!, 5 if eggs are particularly large)
100   g    sugar
1/2  cup    marsala wine
250   ml   freshly brewed espresso coffee (not too strong, slightly diluted, (or more)
600   g    ladyfingers (or savoiardi, if available, biscuits, enough to cover 2 layers)
 pure unsweetened cocoa powder
  sweetened cocoa powder","['mascarpone', 'very fresh eggs', 'sugar', 'marsala wine', 'freshly brewed espresso coffee', 'ladyfingers', 'savoiardi', 'biscuits', 'pure unsweetened cocoa powder', 'sweetened cocoa powder']"
"2   ounces    white rum
1/4  ounce    maraschino juice, can use grenadine 
1/2      lime, juice of
1   ounce    grapefruit juice
1   ounce    blue curacao
2   ounces    pineapple juice","['white rum', 'maraschino juice', 'lime', 'grapefruit juice', 'blue curacao', 'pineapple juice']"
"1   cup    yellow cornmeal
1   cup    flour
1   tablespoon    sugar
4   teaspoons    baking powder
1   teaspoon    salt
1/8  teaspoon    allspice
1/8  teaspoon    fresh ground white pepper
1   large    egg
1   cup    milk
1/4  cup    vegetable shortening
1 1/2  tablespoons    bacon (approx) or 1 1/2  tablespoons    sausage drippings (approx)","['yellow cornmeal', 'flour', 'sugar', 'baking powder', 'salt', 'allspice', 'fresh ground white pepper', 'egg', 'milk', 'vegetable shortening', 'bacon', 'sausage drippings']"
"3   cups    monterey jack cheese, shredded  (about 3/4 pound)
1/2  cup    plain breadcrumbs
1/8  teaspoon    kosher salt
2       green onions, sliced thin 
2   teaspoons    fresh basil, finely chopped 
12   drops    Tabasco sauce
2   tablespoons    dry white wine
2   tablespoons    fresh lemon juice
1   small    garlic clove, crushed 
1   large    egg, lightly beaten 
1   lb    fresh crabmeat (canned crab meat can be used, but i recommend fresh crab)
48   medium    button mushrooms
  cooking oil","['Monterey Jack cheese', 'plain breadcrumbs', 'kosher salt', 'green onions', 'fresh basil', 'Tabasco sauce', 'dry white wine', 'fresh lemon juice', 'garlic clove', 'egg', 'fresh crabmeat', 'button mushrooms', 'cooking oil']"
"4 -5      thinly sliced potatoes
1 (10   ounce) can   cream of mushroom soup
1 (10   ounce) can   cream of chicken soup
1/2-3/4     of one can evaporated milk (12 ounce)
  salt and pepper
2   cups    cheddar cheese","['thinly sliced potatoes', 'cream of mushroom soup', 'cream of chicken soup', 'evaporated milk', 'salt', 'pepper', 'cheddar cheese']"
"5   large    potatoes (washed)
1/2  cup    butter or 1/2  cup    margarine
1   teaspoon    salt
1 1/2  cups    milk
1 1/2  cups    chicken gravy
1   teaspoon    black pepper","['potatoes', 'butter', 'margarine', 'salt', 'milk', 'chicken gravy', 'black pepper']"
"8   ounces    frozen blackberries
1 (15   ounce) can   cranberry sauce
1/3  cup    sugar
3/4  cup    water
1/4  cup    flour","['frozen blackberries', 'cranberry sauce', 'sugar', 'water', 'flour']"
"500   g    skinless chicken breasts
3       carrots, chopped 
4       celery, chopped 
1       parsnip, chopped 
1       leek, chopped 
1   cup    green beans, chopped 
2   tablespoons    parsley, chopped finely 
1       garlic clove, crushed 
3 -4   tablespoons    chicken stock
8   cups    water
  salt & pepper","['skinless chicken breasts', 'carrots', 'celery', 'parsnip', 'leek', 'green beans', 'parsley', 'garlic clove', 'chicken stock', 'water', 'salt & pepper']"
"8   ounces    cream cheese, softened 
8   ounces    sour cream
2   tablespoons    Old Bay Seasoning
2   tablespoons    lemon juice
1/2  teaspoon    cayenne pepper
2   tablespoons    Worcestershire sauce
1/2  teaspoon    chili powder
12   ounces    cooked shrimp, minced ","['cream cheese', 'sour cream', 'Old Bay Seasoning', 'lemon juice', 'cayenne pepper', 'Worcestershire sauce', 'chili powder', 'cooked shrimp']"
"2   lbs    ground beef
1   cup    onion, chopped 
15   ounces    tomato sauce
1 1/4  ounces    spaghetti sauce mix
8   ounces    sour cream
8   ounces    mozzarella cheese, shredded 
8   ounces    crescent roll dough","['ground beef', 'onion, chopped', 'tomato sauce', 'spaghetti sauce mix', 'sour cream', 'mozzarella cheese, shredded', 'crescent roll dough']"
"1   cup    mayonnaise, i use hellmans but try your favorite 
1   cup    cider vinegar, I use Heinz 
1   tablespoon    fresh lemon juice, can use bottled but fresh is the bomb 
1 -1 1/2  tablespoon    black pepper, depends on you 
1/4  teaspoon    cayenne pepper, here's the zing but not too much really ","['mayonnaise', 'cider vinegar', 'fresh lemon juice', 'black pepper', 'cayenne pepper']"
"1 1/4  cups    butter, softened 
2 3/4  cups    sugar
5       eggs
1   teaspoon    almond extract
3   cups    flour
1   teaspoon    baking powder
1/4  teaspoon    salt
1   cup    evaporated milk, undiluted 
2   cups    maraschino cherries, well drained 
  icing sugar","['butter', 'sugar', 'eggs', 'almond extract', 'flour', 'baking powder', 'salt', 'evaporated milk', 'maraschino cherries', 'icing sugar']"
"1   cup    butter, softened 
1   cup    sugar
1   large    egg, lightly beaten 
1   teaspoon    vanilla extract
2 1/2  cups    flour
1/2  teaspoon    salt
1/3  cup    flaked coconut
1 1/2  teaspoons    baking powder
2 -3   drops    green food coloring
1/4  cup   sweet dried cranberries
2   drops    red food coloring
1/2  teaspoon    almond extract","['butter', 'sugar', 'egg', 'vanilla extract', 'flour', 'salt', 'flaked coconut', 'baking powder', 'green food coloring', 'sweet dried cranberries', 'red food coloring', 'almond extract']"
"14 -18   ounces   of stir fry meat (or a combo of both meat and vegetables) or 14 -18   ounces   of your favorite stir fry vegetables (or a combo of both meat and vegetables)
5       garlic cloves (chopped)
  fresh gingerroot (a chunk approx. 1inch cube (or more, peeled & chopped)
1/2-2   small    dried red chilies or 1   teaspoon    black pepper
7   tablespoons    water
2   teaspoons    ground cumin
1   teaspoon    ground coriander
1/2  teaspoon    ground turmeric
4   tablespoons    vegetable oil
1 1/2  teaspoons    whole cumin seeds
1   teaspoon    salt
2   teaspoons    sugar
6   teaspoons    lemon juice (fresh is best)","['stir fry meat', 'stir fry vegetables', 'garlic cloves', 'gingerroot', 'dried red chilies', 'black pepper', 'water', 'ground cumin', 'ground coriander', 'ground turmeric', 'vegetable oil', 'whole cumin seeds', 'salt', 'sugar', 'lemon juice']"
